,ghi,dni,dhi,IR(h),relative_humidity,pressure,temperature,wind_direction,wind_speed
2021-01-01 00:00:00+00:00,0.0,0.0,0.0,228.71,62.31,81110.0,0.12,281.0,3.68
2021-01-01 00:15:00+00:00,0.0,0.0,0.0,226.5275,61.620000000000005,81125.0,-0.11500000000000002,281.0,3.68
2021-01-01 00:30:00+00:00,0.0,0.0,0.0,224.345,60.93,81140.0,-0.35000000000000003,281.0,3.68
2021-01-01 00:45:00+00:00,0.0,0.0,0.0,222.1625,60.239999999999995,81155.0,-0.585,281.0,3.68
2021-01-01 01:00:00+00:00,0.0,0.0,0.0,219.98,59.55,81170.0,-0.82,281.0,3.68
2021-01-01 01:15:00+00:00,0.0,0.0,0.0,217.79749999999999,58.8625,81170.0,-1.055,281.75,3.68
2021-01-01 01:30:00+00:00,0.0,0.0,0.0,215.615,58.175,81170.0,-1.29,282.5,3.68
2021-01-01 01:45:00+00:00,0.0,0.0,0.0,213.4325,57.4875,81170.0,-1.525,283.25,3.68
2021-01-01 02:00:00+00:00,0.0,0.0,0.0,211.25,56.8,81170.0,-1.76,284.0,3.68
2021-01-01 02:15:00+00:00,0.0,0.0,0.0,209.0675,56.11,81172.5,-1.995,283.5,3.6775
2021-01-01 02:30:00+00:00,0.0,0.0,0.0,206.885,55.42,81175.0,-2.23,283.0,3.675
2021-01-01 02:45:00+00:00,0.0,0.0,0.0,204.70250000000001,54.73,81177.5,-2.4650000000000003,282.5,3.6725
2021-01-01 03:00:00+00:00,0.0,0.0,0.0,202.52,54.04,81180.0,-2.7,282.0,3.67
2021-01-01 03:15:00+00:00,0.0,0.0,0.0,200.3375,53.35,81185.0,-2.935,280.25,3.67
2021-01-01 03:30:00+00:00,0.0,0.0,0.0,198.155,52.66,81190.0,-3.1700000000000004,278.5,3.67
2021-01-01 03:45:00+00:00,0.0,0.0,0.0,195.9725,51.97,81195.0,-3.4050000000000002,276.75,3.67
2021-01-01 04:00:00+00:00,0.0,0.0,0.0,193.79,51.28,81200.0,-3.64,275.0,3.67
2021-01-01 04:15:00+00:00,0.0,0.0,0.0,191.6075,50.5925,81205.0,-3.875,274.5,3.67
2021-01-01 04:30:00+00:00,0.0,0.0,0.0,189.425,49.905,81210.0,-4.11,274.0,3.67
2021-01-01 04:45:00+00:00,0.0,0.0,0.0,187.2425,49.2175,81215.0,-4.345,273.5,3.67
2021-01-01 05:00:00+00:00,0.0,0.0,0.0,185.06,48.53,81220.0,-4.58,273.0,3.67
2021-01-01 05:15:00+00:00,0.0,0.0,0.0,182.875,47.84,81217.5,-4.8149999999999995,273.5,3.67
