Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2733340,-,-,-,40.72,-74.01,0,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Cloud Type,Clearsky GHI,Clearsky DHI,Clearsky DNI,Fill Flag
2020,1,1,0,0,0,0,0,4.2,2.6,94.22,116.02,0.08,1003,4,0,0,0,0
2020,1,1,0,5,0,0,0,4.2,2.6,94.22,116.95,0.08,1003,4,0,0,0,0
2020,1,1,0,10,0,0,0,4.2,2.6,94.22,117.89,0.08,1003,4,0,0,0,0
2020,1,1,0,15,0,0,0,4.2,2.6,94.22,118.83,0.08,1003,4,0,0,0,0
2020,1,1,0,20,0,0,0,4.2,2.6,94.22,119.77,0.08,1003,4,0,0,0,0
2020,1,1,0,25,0,0,0,4.2,2.6,94.22,120.71000000000001,0.08,1003,4,0,0,0,0
2020,1,1,0,30,0,0,0,4.2,2.7,94.22,121.66,0.08,1003,4,0,0,0,0
2020,1,1,0,35,0,0,0,4.2,2.7,94.85000000000001,122.60000000000001,0.08,1003,4,0,0,0,0
2020,1,1,0,40,0,0,0,4.2,2.7,94.85000000000001,123.55,0.08,1003,4,0,0,0,0
2020,1,1,0,45,0,0,0,4.2,2.7,94.85000000000001,124.49000000000001,0.08,1003,4,0,0,0,0
2020,1,1,0,50,0,0,0,4.2,2.7,94.85000000000001,125.44,0.08,1003,4,0,0,0,0
2020,1,1,0,55,0,0,0,4.2,2.7,94.85000000000001,126.39,0.08,1003,4,0,0,0,0
2020,1,1,1,0,0,0,0,4.2,2.7,94.85000000000001,127.33,0.08,1003,4,0,0,0,0
2020,1,1,1,5,0,0,0,4.1000000000000005,2.8000000000000003,95.52,128.28,0.08,1003,4,0,0,0,0
2020,1,1,1,10,0,0,0,4.1000000000000005,2.8000000000000003,95.52,129.23,0.08,1003,4,0,0,0,0
2020,1,1,1,15,0,0,0,4.1000000000000005,2.8000000000000003,95.52,130.17000000000002,0.08,1003,4,0,0,0,0
2020,1,1,1,20,0,0,0,4.1000000000000005,2.8000000000000003,95.52,131.12,0.08,1003,4,0,0,0,0
2020,1,1,1,25,0,0,0,4.1000000000000005,2.8000000000000003,95.52,132.06,0.08,1003,4,0,0,0,0
2020,1,1,1,30,0,0,0,4,2.9000000000000004,96.19,133,0.08,1003,4,0,0,0,0
