Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2733340,-,-,-,40.72,-74.01,-5,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure
2021,1,1,0,0,0,0,0,-0.6000000000000001,2.8000000000000003,89.9,162.26,0.08,1028
2021,1,1,0,5,0,0,0,-0.7000000000000001,2.8000000000000003,90.56,162.23,0.08,1028
2021,1,1,0,10,0,0,0,-0.7000000000000001,2.8000000000000003,90.56,162.13,0.08,1028
2021,1,1,0,15,0,0,0,-0.7000000000000001,2.8000000000000003,90.56,161.97,0.08,1028
2021,1,1,0,20,0,0,0,-0.7000000000000001,2.8000000000000003,90.56,161.75,0.08,1028
2021,1,1,0,25,0,0,0,-0.7000000000000001,2.8000000000000003,90.56,161.47,0.08,1028
2021,1,1,0,30,0,0,0,-0.8,2.8000000000000003,91.22,161.14000000000001,0.08,1028
2021,1,1,0,35,0,0,0,-0.8,2.8000000000000003,91.09,160.76,0.08,1028
2021,1,1,0,40,0,0,0,-0.8,2.8000000000000003,91.09,160.33,0.08,1028
2021,1,1,0,45,0,0,0,-0.8,2.8000000000000003,91.18,159.85,0.08,1029
2021,1,1,0,50,0,0,0,-0.8,2.8000000000000003,91.18,159.33,0.08,1029
2021,1,1,0,55,0,0,0,-0.9,2.8000000000000003,91.85000000000001,158.77,0.08,1029
2021,1,1,1,0,0,0,0,-0.9,2.8000000000000003,91.85000000000001,158.18,0.08,1029
2021,1,1,1,5,0,0,0,-0.9,2.7,91.85000000000001,157.55,0.08,1029
2021,1,1,1,10,0,0,0,-0.9,2.7,91.85000000000001,156.89000000000001,0.08,1029
2021,1,1,1,15,0,0,0,-0.9,2.7,91.85000000000001,156.21,0.08,1029
2021,1,1,1,20,0,0,0,-1,2.7,92.52,155.5,0.08,1029
2021,1,1,1,25,0,0,0,-1,2.7,92.52,154.76,0.08,1029
2021,1,1,1,30,0,0,0,-1,2.6,92.52,154.01,0.08,1029
2021,1,1,1,35,0,0,0,-1,2.6,92.34,153.23,0.08,1029
2021,1,1,1,40,0,0,0,-1,2.6,92.34,152.44,0.08,1029
2021,1,1,1,45,0,0,0,-1.1,2.6,93.01,151.64000000000001,0.08,1029
2021,1,1,1,50,0,0,0,-1.1,2.6,93.01,150.81,0.08,1029
2021,1,1,1,55,0,0,0,-1.1,2.6,93.01,149.98,0.08,1029
2021,1,1,2,0,0,0,0,-1.1,2.5,93.01,149.13,0.08,1029
2021,1,1,2,5,0,0,0,-1.1,2.5,93.01,148.27,0.08,1029
2021,1,1,2,10,0,0,0,-1.1,2.5,93.01,147.41,0.08,1029
2021,1,1,2,15,0,0,0,-1.1,2.5,93.01,146.53,0.08,1029
2021,1,1,2,20,0,0,0,-1.1,2.5,93.01,145.65,0.08,1029
2021,1,1,2,25,0,0,0,-1.2000000000000002,2.5,93.7,144.75,0.08,1029
2021,1,1,2,30,0,0,0,-1.2000000000000002,2.4000000000000004,93.7,143.86,0.08,1029
2021,1,1,2,35,0,0,0,-1.2000000000000002,2.4000000000000004,93.48,142.95000000000002,0.08,1029
2021,1,1,2,40,0,0,0,-1.2000000000000002,2.4000000000000004,93.48,142.04,0.08,1029
2021,1,1,2,45,0,0,0,-1.2000000000000002,2.4000000000000004,93.48,141.12,0.08,1029
2021,1,1,2,50,0,0,0,-1.2000000000000002,2.4000000000000004,93.48,140.20000000000002,0.08,1029
2021,1,1,2,55,0,0,0,-1.2000000000000002,2.4000000000000004,93.48,139.28,0.08,1029
2021,1,1,3,0,0,0,0,-1.2000000000000002,2.3000000000000003,93.48,138.35,0.08,1029
2021,1,1,3,5,0,0,0,-1.2000000000000002,2.3000000000000003,93.48,137.42000000000002,0.08,1029
2021,1,1,3,10,0,0,0,-1.2000000000000002,2.3000000000000003,93.48,136.49,0.08,1029
2021,1,1,3,15,0,0,0,-1.2000000000000002,2.3000000000000003,93.57000000000001,135.55,0.08,1030
2021,1,1,3,20,0,0,0,-1.2000000000000002,2.3000000000000003,93.57000000000001,134.61,0.08,1030
2021,1,1,3,25,0,0,0,-1.3,2.3000000000000003,94.26,133.67000000000002,0.08,1030
2021,1,1,3,30,0,0,0,-1.3,2.3000000000000003,94.26,132.73,0.08,1030
2021,1,1,3,35,0,0,0,-1.3,2.3000000000000003,94.04,131.79,0.08,1030
2021,1,1,3,40,0,0,0,-1.3,2.3000000000000003,94.04,130.84,0.08,1030
2021,1,1,3,45,0,0,0,-1.3,2.3000000000000003,94.04,129.9,0.08,1030
2021,1,1,3,50,0,0,0,-1.3,2.3000000000000003,94.04,128.95,0.08,1030
2021,1,1,3,55,0,0,0,-1.3,2.3000000000000003,94.04,128,0.08,1030
2021,1,1,4,0,0,0,0,-1.3,2.3000000000000003,94.04,127.05,0.08,1030
2021,1,1,4,5,0,0,0,-1.3,2.3000000000000003,94.04,126.11,0.08,1030
2021,1,1,4,10,0,0,0,-1.3,2.3000000000000003,94.04,125.16,0.08,1030
2021,1,1,4,15,0,0,0,-1.3,2.3000000000000003,94.04,124.21000000000001,0.08,1030
2021,1,1,4,20,0,0,0,-1.3,2.3000000000000003,94.04,123.27,0.08,1030
2021,1,1,4,25,0,0,0,-1.3,2.3000000000000003,94.04,122.32000000000001,0.08,1030
2021,1,1,4,30,0,0,0,-1.3,2.3000000000000003,94.04,121.38,0.08,1030
2021,1,1,4,35,0,0,0,-1.3,2.3000000000000003,93.85000000000001,120.43,0.08,1030
2021,1,1,4,40,0,0,0,-1.3,2.2,93.85000000000001,119.49000000000001,0.08,1030
2021,1,1,4,45,0,0,0,-1.3,2.2,93.85000000000001,118.55,0.08,1030
2021,1,1,4,50,0,0,0,-1.4000000000000001,2.2,94.54,117.61,0.08,1030
2021,1,1,4,55,0,0,0,-1.4000000000000001,2.2,94.63,116.67,0.08,1031
2021,1,1,5,0,0,0,0,-1.4000000000000001,2.2,94.63,115.73,0.08,1031
2021,1,1,5,5,0,0,0,-1.4000000000000001,2.2,94.63,114.8,0.08,1031
2021,1,1,5,10,0,0,0,-1.4000000000000001,2.2,94.63,113.87,0.08,1031
2021,1,1,5,15,0,0,0,-1.4000000000000001,2.2,94.63,112.94,0.08,1031
2021,1,1,5,20,0,0,0,-1.4000000000000001,2.2,94.63,112.01,0.08,1031
2021,1,1,5,25,0,0,0,-1.4000000000000001,2.2,94.63,111.08,0.08,1031
2021,1,1,5,30,0,0,0,-1.4000000000000001,2.2,94.63,110.16,0.08,1031
2021,1,1,5,35,0,0,0,-1.4000000000000001,2.2,94.48,109.24000000000001,0.08,1031
2021,1,1,5,40,0,0,0,-1.4000000000000001,2.2,94.48,108.32000000000001,0.08,1031
2021,1,1,5,45,0,0,0,-1.4000000000000001,2.2,94.48,107.41,0.08,1031
2021,1,1,5,50,0,0,0,-1.4000000000000001,2.2,94.48,106.5,0.08,1031
2021,1,1,5,55,0,0,0,-1.4000000000000001,2.2,94.48,105.59,0.08,1031
2021,1,1,6,0,0,0,0,-1.4000000000000001,2.2,94.48,104.69,0.08,1031
2021,1,1,6,5,0,0,0,-1.4000000000000001,2.2,94.48,103.79,0.08,1031
2021,1,1,6,10,0,0,0,-1.4000000000000001,2.2,94.48,102.89,0.08,1031
2021,1,1,6,15,0,0,0,-1.4000000000000001,2.2,94.48,102,0.08,1031
2021,1,1,6,20,0,0,0,-1.4000000000000001,2.2,94.48,101.11,0.08,1031
2021,1,1,6,25,0,0,0,-1.4000000000000001,2.2,94.48,100.23,0.08,1031
2021,1,1,6,30,0,0,0,-1.4000000000000001,2.2,94.48,99.35000000000001,0.08,1031
2021,1,1,6,35,0,0,0,-1.3,2.2,94.14,98.48,0.08,1031
2021,1,1,6,40,0,0,0,-1.3,2.2,94.14,97.61,0.08,1031
2021,1,1,6,45,0,0,0,-1.3,2.2,94.14,96.75,0.08,1031
2021,1,1,6,50,0,0,0,-1.3,2.2,94.14,95.89,0.08,1031
2021,1,1,6,55,0,0,0,-1.3,2.2,94.14,95.03,0.08,1031
2021,1,1,7,0,0,0,0,-1.3,2.3000000000000003,94.14,94.19,0.08,1031
2021,1,1,7,5,0,0,0,-1.1,2.3000000000000003,92.77,93.35000000000001,0.08,1031
2021,1,1,7,10,0,0,0,-1,2.3000000000000003,92.09,92.51,0.08,1031
2021,1,1,7,15,0,0,0,-0.9,2.4000000000000004,91.42,91.68,0.08,1031
2021,1,1,7,20,0,0,0,-0.7000000000000001,2.4000000000000004,90.10000000000001,90.86,0.08,1031
2021,1,1,7,25,0,0,0,-0.6000000000000001,2.4000000000000004,89.44,89.52,0.08,1031
2021,1,1,7,30,8,8,1,-0.5,2.5,88.79,88.82000000000001,0.08,1031
2021,1,1,7,35,13,13,1,-0.30000000000000004,2.5,91.78,88.10000000000001,0.08,1031
2021,1,1,7,40,20,20,2,-0.2,2.5,91.11,87.36,0.08,1031
2021,1,1,7,45,29,29,5,0,2.6,89.8,86.62,0.08,1031
2021,1,1,7,50,37,36,12,0.1,2.6,89.15,85.87,0.08,1031
2021,1,1,7,55,50,46,39,0.2,2.6,88.51,85.12,0.08,1031
2021,1,1,8,0,62,55,76,0.4,2.7,87.24,84.38,0.08,1031
2021,1,1,8,5,75,60,143,0.5,2.7,86.61,83.64,0.08,1031
2021,1,1,8,10,84,66,149,0.6000000000000001,2.7,85.99,82.91,0.08,1031
2021,1,1,8,15,77,71,39,0.7000000000000001,2.7,85.37,82.18,0.08,1031
