Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2733340,-,-,-,40.72,-74.01,0,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Cloud Type,Clearsky GHI,Clearsky DHI,Clearsky DNI,Fill Flag
2021,1,1,0,0,0,0,0,2,2.3000000000000003,84.63,115.91,0.08,1026,7,0,0,0,0
2021,1,1,0,5,0,0,0,2,2.3000000000000003,84.63,116.85000000000001,0.08,1026,7,0,0,0,0
2021,1,1,0,10,0,0,0,1.9000000000000001,2.3000000000000003,85.24,117.79,0.08,1026,7,0,0,0,0
2021,1,1,0,15,0,0,0,1.9000000000000001,2.3000000000000003,85.24,118.73,0.08,1026,7,0,0,0,0
2021,1,1,0,20,0,0,0,1.8,2.3000000000000003,85.85000000000001,119.67,0.08,1026,7,0,0,0,0
2021,1,1,0,25,0,0,0,1.8,2.3000000000000003,85.85000000000001,120.61,0.08,1026,7,0,0,0,0
2021,1,1,0,30,0,0,0,1.8,2.3000000000000003,85.85000000000001,121.56,0.08,1026,7,0,0,0,0
2021,1,1,0,35,0,0,0,1.7000000000000002,2.3000000000000003,83.67,122.5,0.08,1026,7,0,0,0,0
2021,1,1,0,40,0,0,0,1.7000000000000002,2.4000000000000004,83.67,123.45,0.08,1026,7,0,0,0,0
2021,1,1,0,45,0,0,0,1.7000000000000002,2.4000000000000004,83.67,124.39,0.08,1026,7,0,0,0,0
2021,1,1,0,50,0,0,0,1.6,2.4000000000000004,84.27,125.34,0.08,1026,7,0,0,0,0
2021,1,1,0,55,0,0,0,1.6,2.4000000000000004,84.27,126.29,0.08,1026,7,0,0,0,0
2021,1,1,1,0,0,0,0,1.5,2.4000000000000004,84.87,127.23,0.08,1026,8,0,0,0,0
2021,1,1,1,5,0,0,0,1.5,2.4000000000000004,84.95,128.18,0.08,1027,8,0,0,0,0
2021,1,1,1,10,0,0,0,1.4000000000000001,2.4000000000000004,85.56,129.13,0.08,1027,4,0,0,0,0
2021,1,1,1,15,0,0,0,1.4000000000000001,2.4000000000000004,85.56,130.07,0.08,1027,8,0,0,0,0
2021,1,1,1,20,0,0,0,1.3,2.4000000000000004,86.18,131.02,0.08,1027,8,0,0,0,0
2021,1,1,1,25,0,0,0,1.2000000000000002,2.5,86.8,131.96,0.08,1027,5,0,0,0,0
2021,1,1,1,30,0,0,0,1.2000000000000002,2.5,86.8,132.9,0.08,1027,4,0,0,0,0
2021,1,1,1,35,0,0,0,1.1,2.5,84.42,133.85,0.08,1027,2,0,0,0,0
2021,1,1,1,40,0,0,0,1.1,2.5,84.42,134.79,0.08,1027,2,0,0,0,0
2021,1,1,1,45,0,0,0,1,2.5,85.03,135.72,0.08,1027,2,0,0,0,0
2021,1,1,1,50,0,0,0,1,2.5,85.03,136.66,0.08,1027,2,0,0,0,0
2021,1,1,1,55,0,0,0,0.9,2.6,85.64,137.59,0.08,1027,2,0,0,0,0
2021,1,1,2,0,0,0,0,0.8,2.6,86.26,138.52,0.08,1027,2,0,0,0,0
2021,1,1,2,5,0,0,0,0.8,2.6,86.26,139.45000000000002,0.08,1027,2,0,0,0,0
2021,1,1,2,10,0,0,0,0.7000000000000001,2.6,86.89,140.37,0.08,1027,2,0,0,0,0
2021,1,1,2,15,0,0,0,0.7000000000000001,2.6,86.89,141.29,0.08,1027,2,0,0,0,0
2021,1,1,2,20,0,0,0,0.6000000000000001,2.6,87.60000000000001,142.21,0.08,1028,4,0,0,0,0
2021,1,1,2,25,0,0,0,0.5,2.6,88.23,143.12,0.08,1028,4,0,0,0,0
2021,1,1,2,30,0,0,0,0.5,2.6,88.23,144.02,0.08,1028,2,0,0,0,0
2021,1,1,2,35,0,0,0,0.4,2.7,86.10000000000001,144.92000000000002,0.08,1028,2,0,0,0,0
2021,1,1,2,40,0,0,0,0.30000000000000004,2.7,86.73,145.81,0.08,1028,2,0,0,0,0
2021,1,1,2,45,0,0,0,0.30000000000000004,2.7,86.73,146.69,0.08,1028,2,0,0,0,0
2021,1,1,2,50,0,0,0,0.2,2.7,87.36,147.57,0.08,1028,2,0,0,0,0
