Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Cloud Type,Clearsky GHI,Clearsky DHI,Clearsky DNI,Fill Flag,source_year
2019,1,1,0,0,0,0,0,5.9,4.6000000000000005,95.61,115.98,0.08,1017,7,0,0,0,0,2019
2019,1,1,0,5,0,0,0,5.9,4.6000000000000005,95.61,116.92,0.08,1017,8,0,0,0,0,2019
2019,1,1,0,10,0,0,0,5.9,4.6000000000000005,95.61,117.86,0.08,1017,8,0,0,0,0,2019
2019,1,1,0,15,0,0,0,6.0,4.6000000000000005,94.95,118.8,0.08,1017,8,0,0,0,0,2019
2019,1,1,0,20,0,0,0,6.0,4.7,94.95,119.74,0.08,1017,8,0,0,0,0,2019
2019,1,1,0,25,0,0,0,6.1000000000000005,4.7,94.21,120.68,0.08,1016,8,0,0,0,0,2019
2019,1,1,0,30,0,0,0,6.1000000000000005,4.7,94.21,121.62,0.08,1016,8,0,0,0,0,2019
2019,1,1,0,35,0,0,0,6.2,4.800000000000002,97.12,122.57,0.08,1016,8,0,0,0,0,2019
2019,1,1,0,40,0,0,0,6.2,4.800000000000002,97.12,123.51,0.08,1016,8,0,0,0,0,2019
2019,1,1,0,45,0,0,0,6.300000000000002,4.800000000000002,96.45,124.46,0.08,1016,8,0,0,0,0,2019
2019,1,1,0,50,0,0,0,6.300000000000002,4.9,96.36,125.41,0.08,1015,7,0,0,0,0,2019
2019,1,1,0,55,0,0,0,6.4,4.9,95.7,126.35,0.08,1015,7,0,0,0,0,2019
2019,1,1,1,0,0,0,0,6.4,4.9,95.7,127.3,0.08,1015,7,0,0,0,0,2019
2019,1,1,1,5,0,0,0,6.4,4.9,95.7,128.25,0.08,1015,7,0,0,0,0,2019
2019,1,1,1,10,0,0,0,6.5,4.800000000000002,95.04,129.19,0.08,1015,7,0,0,0,0,2019
2019,1,1,1,15,0,0,0,6.5,4.800000000000002,95.04,130.14,0.08,1015,8,0,0,0,0,2019
2019,1,1,1,20,0,0,0,6.5,4.7,94.95,131.08,0.08,1014,8,0,0,0,0,2019
2019,1,1,1,25,0,0,0,6.5,4.7,94.95,132.03,0.08,1014,8,0,0,0,0,2019
2019,1,1,1,30,0,0,0,6.6000000000000005,4.6000000000000005,94.3,132.97,0.08,1014,8,0,0,0,0,2019
2019,1,1,1,35,0,0,0,6.6000000000000005,4.6000000000000005,97.51,133.91,0.08,1014,6,0,0,0,0,2019
2019,1,1,1,40,0,0,0,6.6000000000000005,4.5,97.51,134.85,0.08,1014,6,0,0,0,0,2019
2019,1,1,1,45,0,0,0,6.6000000000000005,4.4,97.51,135.79,0.08,1014,6,0,0,0,0,2019
2019,1,1,1,50,0,0,0,6.7,4.4,96.75,136.73,0.08,1013,6,0,0,0,0,2019
2019,1,1,1,55,0,0,0,6.7,4.3,96.75,137.66,0.08,1013,6,0,0,0,0,2019
2019,1,1,2,0,0,0,0,6.7,4.3,96.75,138.59,0.08,1013,6,0,0,0,0,2019
2019,1,1,2,5,0,0,0,6.800000000000002,4.3,96.08,139.52,0.08,1013,8,0,0,0,0,2019
2019,1,1,2,10,0,0,0,6.800000000000002,4.3,96.08,140.44,0.08,1013,8,0,0,0,0,2019
2019,1,1,2,15,0,0,0,6.800000000000002,4.2,96.08,141.36,0.08,1013,7,0,0,0,0,2019
2019,1,1,2,20,0,0,0,6.9,4.2,95.33,142.27,0.08,1012,6,0,0,0,0,2019
2019,1,1,2,25,0,0,0,6.9,4.2,95.33,143.18,0.08,1012,6,0,0,0,0,2019
2019,1,1,2,30,0,0,0,6.9,4.2,95.33,144.09,0.08,1012,6,0,0,0,0,2019
2019,1,1,2,35,0,0,0,7.0,4.2,98.3,144.98,0.08,1012,6,0,0,0,0,2019
2019,1,1,2,40,0,0,0,7.0,4.2,98.3,145.88,0.08,1012,6,0,0,0,0,2019
2019,1,1,2,45,0,0,0,7.0,4.2,98.2,146.76,0.08,1011,6,0,0,0,0,2019
2019,1,1,2,50,0,0,0,7.1000000000000005,4.2,97.53,147.63,0.08,1011,6,0,0,0,0,2019
2019,1,1,2,55,0,0,0,7.1000000000000005,4.1000000000000005,97.53,148.5,0.08,1011,6,0,0,0,0,2019
2019,1,1,3,0,0,0,0,7.1000000000000005,4.1000000000000005,97.53,149.35,0.08,1011,6,0,0,0,0,2019
2019,1,1,3,5,0,0,0,7.2,4.1000000000000005,96.77,150.20000000000005,0.08,1010,6,0,0,0,0,2019
2019,1,1,3,10,0,0,0,7.2,4.1000000000000005,96.77,151.03,0.08,1010,6,0,0,0,0,2019
2019,1,1,3,15,0,0,0,7.300000000000002,4.1000000000000005,96.11,151.85,0.08,1010,6,0,0,0,0,2019
2019,1,1,3,20,0,0,0,7.300000000000002,4.1000000000000005,96.11,152.65,0.08,1010,6,0,0,0,0,2019
2019,1,1,3,25,0,0,0,7.4,4.0,95.46,153.44,0.08,1010,6,0,0,0,0,2019
2019,1,1,3,30,0,0,0,7.4,4.0,95.37,154.21,0.08,1009,6,0,0,0,0,2019
2019,1,1,3,35,0,0,0,7.5,4.0,99.46,154.96,0.08,1009,6,0,0,0,0,2019
2019,1,1,3,40,0,0,0,7.5,4.0,99.46,155.69,0.08,1009,6,0,0,0,0,2019
2019,1,1,3,45,0,0,0,7.6,4.0,98.78,156.4,0.08,1009,6,0,0,0,0,2019
2019,1,1,3,50,0,0,0,7.6,4.0,98.78,157.08,0.08,1009,6,0,0,0,0,2019
2019,1,1,3,55,0,0,0,7.7,4.0,98.02,157.73,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,0,0,0,0,7.7,3.9,98.02,158.35,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,5,0,0,0,7.7,4.0,98.02,158.94,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,10,0,0,0,7.800000000000002,4.0,97.35,159.49,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,15,0,0,0,7.800000000000002,4.1000000000000005,97.35,160.0,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,20,0,0,0,7.9,4.1000000000000005,96.69,160.47,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,25,0,0,0,7.9,4.1000000000000005,96.69,160.89,0.08,1008,6,0,0,0,0,2019
2019,1,1,4,30,0,0,0,8.0,4.2,95.94,161.26,0.08,1007,6,0,0,0,0,2019
2019,1,1,4,35,0,0,0,8.0,4.2,99.45,161.58,0.08,1007,6,0,0,0,0,2019
2019,1,1,4,40,0,0,0,8.1,4.3,98.77,161.84,0.08,1007,6,0,0,0,0,2019
2019,1,1,4,45,0,0,0,8.1,4.3,98.77,162.05,0.08,1007,6,0,0,0,0,2019
2019,1,1,4,50,0,0,0,8.200000000000001,4.3,98.11,162.20000000000005,0.08,1007,6,0,0,0,0,2019
2019,1,1,4,55,0,0,0,8.200000000000001,4.4,98.11,162.28,0.08,1007,6,0,0,0,0,2019
2019,1,1,5,0,0,0,0,8.3,4.4,97.35,162.3,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,5,0,0,0,8.3,4.5,97.35,162.26,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,10,0,0,0,8.4,4.5,96.69,162.16,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,15,0,0,0,8.4,4.5,96.69,162.0,0.08,1006,7,0,0,0,0,2019
2019,1,1,5,20,0,0,0,8.5,4.5,96.04,161.78,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,25,0,0,0,8.6,4.5,95.39,161.5,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,30,0,0,0,8.6,4.6000000000000005,95.39,161.16,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,35,0,0,0,8.700000000000001,4.6000000000000005,99.3,160.78,0.08,1006,6,0,0,0,0,2019
2019,1,1,5,40,0,0,0,8.700000000000001,4.6000000000000005,99.2,160.34,0.08,1005,7,0,0,0,0,2019
2019,1,1,5,45,0,0,0,8.8,4.6000000000000005,98.53,159.86,0.08,1005,6,0,0,0,0,2019
2019,1,1,5,50,0,0,0,8.8,4.7,98.53,159.34,0.08,1005,6,0,0,0,0,2019
2019,1,1,5,55,0,0,0,8.9,4.7,97.87,158.78,0.08,1005,6,0,0,0,0,2019
2019,1,1,6,0,0,0,0,9.0,4.7,97.22,158.18,0.08,1005,6,0,0,0,0,2019
2019,1,1,6,5,0,0,0,9.0,4.7,97.22,157.55,0.08,1005,6,0,0,0,0,2019
2019,1,1,6,10,0,0,0,9.1,4.7,96.56,156.9,0.08,1005,6,0,0,0,0,2019
2019,1,1,6,15,0,0,0,9.2,4.7,95.82,156.21,0.08,1004,6,0,0,0,0,2019
2019,1,1,6,20,0,0,0,9.3,4.800000000000002,95.18,155.5,0.08,1004,6,0,0,0,0,2019
2019,1,1,6,25,0,0,0,9.3,4.800000000000002,95.18,154.76,0.08,1004,6,0,0,0,0,2019
2019,1,1,6,30,0,0,0,9.4,4.800000000000002,94.54,154.0,0.08,1004,7,0,0,0,0,2019
2019,1,1,6,35,0,0,0,9.5,4.800000000000002,100.0,153.23,0.08,1004,7,0,0,0,0,2019
2019,1,1,6,40,0,0,0,9.6,4.800000000000002,99.53,152.43,0.08,1004,7,0,0,0,0,2019
2019,1,1,6,45,0,0,0,9.6,4.800000000000002,99.43,151.63,0.08,1003,6,0,0,0,0,2019
2019,1,1,6,50,0,0,0,9.7,4.800000000000002,98.77,150.8,0.08,1003,7,0,0,0,0,2019
2019,1,1,6,55,0,0,0,9.8,4.800000000000002,98.11,149.97,0.08,1003,7,0,0,0,0,2019
2019,1,1,7,0,0,0,0,9.9,4.9,97.46,149.12,0.08,1003,6,0,0,0,0,2019
2019,1,1,7,5,0,0,0,9.9,4.800000000000002,97.46,148.26,0.08,1003,6,0,0,0,0,2019
2019,1,1,7,10,0,0,0,9.9,4.800000000000002,97.46,147.39,0.08,1003,6,0,0,0,0,2019
2019,1,1,7,15,0,0,0,10.0,4.800000000000002,96.81,146.52,0.08,1003,7,0,0,0,0,2019
2019,1,1,7,20,0,0,0,10.0,4.7,96.81,145.63,0.08,1003,7,0,0,0,0,2019
2019,1,1,7,25,0,0,0,10.1,4.7,96.16,144.74,0.08,1003,6,0,0,0,0,2019
2019,1,1,7,30,0,0,0,10.1,4.7,96.07,143.84,0.08,1002,7,0,0,0,0,2019
2019,1,1,7,35,0,0,0,10.1,4.6000000000000005,99.84,142.93,0.08,1002,7,0,0,0,0,2019
2019,1,1,7,40,0,0,0,10.2,4.6000000000000005,99.18,142.02,0.08,1002,7,0,0,0,0,2019
2019,1,1,7,45,0,0,0,10.2,4.6000000000000005,99.18,141.11,0.08,1002,7,0,0,0,0,2019
2019,1,1,7,50,0,0,0,10.2,4.6000000000000005,99.18,140.19,0.08,1002,7,0,0,0,0,2019
2019,1,1,7,55,0,0,0,10.3,4.5,98.52,139.26,0.08,1002,8,0,0,0,0,2019
2019,1,1,8,0,0,0,0,10.3,4.5,98.52,138.33,0.08,1002,8,0,0,0,0,2019
2019,1,1,8,5,0,0,0,10.4,4.5,97.87,137.4,0.08,1002,8,0,0,0,0,2019
2019,1,1,8,10,0,0,0,10.4,4.5,97.87,136.47,0.08,1002,4,0,0,0,0,2019
2019,1,1,8,15,0,0,0,10.5,4.5,97.22,135.53,0.08,1002,7,0,0,0,0,2019
2019,1,1,8,20,0,0,0,10.5,4.5,97.22,134.59,0.08,1002,7,0,0,0,0,2019
2019,1,1,8,25,0,0,0,10.6,4.5,96.57,133.65,0.08,1002,4,0,0,0,0,2019
2019,1,1,8,30,0,0,0,10.6,4.5,96.57,132.71,0.08,1002,4,0,0,0,0,2019
2019,1,1,8,35,0,0,0,10.7,4.5,99.67,131.77,0.08,1001,4,0,0,0,0,2019
2019,1,1,8,40,0,0,0,10.7,4.5,99.67,130.82,0.08,1001,4,0,0,0,0,2019
2019,1,1,8,45,0,0,0,10.8,4.5,99.01,129.87,0.08,1001,4,0,0,0,0,2019
2019,1,1,8,50,0,0,0,10.8,4.5,99.01,128.93,0.08,1001,8,0,0,0,0,2019
2019,1,1,8,55,0,0,0,10.9,4.5,98.36,127.98,0.08,1001,7,0,0,0,0,2019
2019,1,1,9,0,0,0,0,10.9,4.5,98.36,127.03,0.08,1001,7,0,0,0,0,2019
2019,1,1,9,5,0,0,0,11.0,4.5,97.71,126.09,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,10,0,0,0,11.1,4.6000000000000005,97.06,125.14,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,15,0,0,0,11.2,4.6000000000000005,96.42,124.19,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,20,0,0,0,11.3,4.6000000000000005,95.79,123.25,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,25,0,0,0,11.4,4.7,95.16,122.3,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,30,0,0,0,11.4,4.7,95.16,121.36,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,35,0,0,0,11.5,4.7,100.0,120.41,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,40,0,0,0,11.6,4.800000000000002,99.95,119.47,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,45,0,0,0,11.7,4.800000000000002,99.29,118.53,0.08,1001,7,0,0,0,0,2019
2019,1,1,9,50,0,0,0,11.8,4.800000000000002,98.64,117.59,0.08,1001,4,0,0,0,0,2019
2019,1,1,9,55,0,0,0,11.9,4.9,97.99,116.65,0.08,1001,7,0,0,0,0,2019
2019,1,1,10,0,0,0,0,12.0,4.9,97.35,115.72,0.08,1001,4,0,0,0,0,2019
2019,1,1,10,5,0,0,0,12.0,4.9,97.35,114.78,0.08,1001,4,0,0,0,0,2019
2019,1,1,10,10,0,0,0,12.0,4.9,97.35,113.85,0.08,1001,4,0,0,0,0,2019
