Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,source_year
2020,1,1,0,0,0,0,0,1.7000000000000002,3.2,88.9,162.32,0.08,1003,2020
2020,1,1,0,5,0,0,0,1.7000000000000002,3.2,88.9,162.28,0.08,1003,2020
2020,1,1,0,10,0,0,0,1.6,3.2,89.54,162.18,0.08,1003,2020
2020,1,1,0,15,0,0,0,1.6,3.2,89.54,162.01,0.08,1003,2020
2020,1,1,0,20,0,0,0,1.6,3.2,89.54,161.79,0.08,1003,2020
2020,1,1,0,25,0,0,0,1.5,3.2,90.18,161.51,0.08,1003,2020
2020,1,1,0,30,0,0,0,1.5,3.2,90.18,161.17000000000004,0.08,1003,2020
2020,1,1,0,35,0,0,0,1.4,3.2,88.59,160.79,0.08,1003,2020
2020,1,1,0,40,0,0,0,1.4,3.2,88.59,160.35,0.08,1003,2020
2020,1,1,0,45,0,0,0,1.4,3.2,88.59,159.87,0.08,1003,2020
2020,1,1,0,50,0,0,0,1.3,3.2,89.22,159.35,0.08,1003,2020
2020,1,1,0,55,0,0,0,1.3,3.2,89.22,158.79,0.08,1003,2020
2020,1,1,1,0,0,0,0,1.2000000000000002,3.2,89.86,158.19,0.08,1003,2020
2020,1,1,1,5,0,0,0,1.2000000000000002,3.2,89.86,157.56,0.08,1003,2020
2020,1,1,1,10,0,0,0,1.2000000000000002,3.2,89.86,156.9,0.08,1003,2020
2020,1,1,1,15,0,0,0,1.1,3.2,90.51,156.21,0.08,1003,2020
2020,1,1,1,20,0,0,0,1.1,3.2,90.51,155.49,0.08,1003,2020
2020,1,1,1,25,0,0,0,1.0,3.2,91.16,154.76,0.08,1003,2020
2020,1,1,1,30,0,0,0,1.0,3.2,91.16,154.0,0.08,1003,2020
2020,1,1,1,35,0,0,0,1.0,3.2,89.23,153.22,0.08,1003,2020
2020,1,1,1,40,0,0,0,0.9,3.2,89.96000000000002,152.43,0.08,1004,2020
2020,1,1,1,45,0,0,0,0.9,3.2,89.96000000000002,151.62,0.08,1004,2020
2020,1,1,1,50,0,0,0,0.9,3.2,89.96000000000002,150.8,0.08,1004,2020
2020,1,1,1,55,0,0,0,0.8,3.2,90.61,149.96,0.08,1004,2020
2020,1,1,2,0,0,0,0,0.8,3.2,90.61,149.11,0.08,1004,2020
2020,1,1,2,5,0,0,0,0.7000000000000001,3.2,91.27,148.26,0.08,1004,2020
2020,1,1,2,10,0,0,0,0.7000000000000001,3.2,91.27,147.39,0.08,1004,2020
2020,1,1,2,15,0,0,0,0.7000000000000001,3.2,91.27,146.51,0.08,1004,2020
2020,1,1,2,20,0,0,0,0.7000000000000001,3.2,91.27,145.62,0.08,1004,2020
2020,1,1,2,25,0,0,0,0.6000000000000001,3.2,91.93,144.73,0.08,1004,2020
2020,1,1,2,30,0,0,0,0.6000000000000001,3.2,91.93,143.83,0.08,1004,2020
2020,1,1,2,35,0,0,0,0.6000000000000001,3.2,90.41,142.92000000000004,0.08,1004,2020
2020,1,1,2,40,0,0,0,0.5,3.2,91.07,142.01,0.08,1004,2020
2020,1,1,2,45,0,0,0,0.5,3.2,91.07,141.1,0.08,1004,2020
2020,1,1,2,50,0,0,0,0.5,3.2,91.07,140.18,0.08,1004,2020
2020,1,1,2,55,0,0,0,0.5,3.2,91.07,139.25,0.08,1004,2020
2020,1,1,3,0,0,0,0,0.4,3.2,91.73,138.32,0.08,1004,2020
2020,1,1,3,5,0,0,0,0.4,3.2,91.73,137.39,0.08,1004,2020
2020,1,1,3,10,0,0,0,0.4,3.2,91.73,136.46,0.08,1004,2020
2020,1,1,3,15,0,0,0,0.4,3.2,91.73,135.52,0.08,1004,2020
2020,1,1,3,20,0,0,0,0.4,3.2,91.73,134.58,0.08,1004,2020
2020,1,1,3,25,0,0,0,0.4,3.2,91.73,133.64,0.08,1004,2020
2020,1,1,3,30,0,0,0,0.30000000000000004,3.3000000000000003,92.39,132.7,0.08,1004,2020
2020,1,1,3,35,0,0,0,0.30000000000000004,3.3000000000000003,90.68,131.76,0.08,1004,2020
2020,1,1,3,40,0,0,0,0.30000000000000004,3.3000000000000003,90.68,130.81,0.08,1004,2020
2020,1,1,3,45,0,0,0,0.30000000000000004,3.3000000000000003,90.68,129.86,0.08,1004,2020
2020,1,1,3,50,0,0,0,0.30000000000000004,3.3000000000000003,90.68,128.92000000000002,0.08,1004,2020
2020,1,1,3,55,0,0,0,0.30000000000000004,3.3000000000000003,90.68,127.97,0.08,1004,2020
2020,1,1,4,0,0,0,0,0.30000000000000004,3.3000000000000003,90.68,127.02,0.08,1004,2020
2020,1,1,4,5,0,0,0,0.30000000000000004,3.3000000000000003,90.68,126.08,0.08,1004,2020
2020,1,1,4,10,0,0,0,0.30000000000000004,3.3000000000000003,90.68,125.13,0.08,1004,2020
2020,1,1,4,15,0,0,0,0.30000000000000004,3.3000000000000003,90.68,124.18,0.08,1004,2020
2020,1,1,4,20,0,0,0,0.30000000000000004,3.4000000000000004,90.68,123.24,0.08,1004,2020
2020,1,1,4,25,0,0,0,0.30000000000000004,3.4000000000000004,90.68,122.29,0.08,1004,2020
2020,1,1,4,30,0,0,0,0.30000000000000004,3.4000000000000004,90.68,121.35,0.08,1004,2020
2020,1,1,4,35,0,0,0,0.30000000000000004,3.4000000000000004,88.42,120.4,0.08,1004,2020
2020,1,1,4,40,0,0,0,0.30000000000000004,3.4000000000000004,88.42,119.46,0.08,1004,2020
2020,1,1,4,45,0,0,0,0.30000000000000004,3.4000000000000004,88.42,118.52,0.08,1004,2020
2020,1,1,4,50,0,0,0,0.30000000000000004,3.4000000000000004,88.42,117.58,0.08,1004,2020
2020,1,1,4,55,0,0,0,0.30000000000000004,3.4000000000000004,88.42,116.64,0.08,1004,2020
2020,1,1,5,0,0,0,0,0.30000000000000004,3.4000000000000004,88.42,115.71,0.08,1004,2020
2020,1,1,5,5,0,0,0,0.30000000000000004,3.4000000000000004,88.42,114.77,0.08,1004,2020
2020,1,1,5,10,0,0,0,0.30000000000000004,3.4000000000000004,88.42,113.84,0.08,1004,2020
2020,1,1,5,15,0,0,0,0.30000000000000004,3.4000000000000004,88.42,112.91,0.08,1004,2020
2020,1,1,5,20,0,0,0,0.4,3.5,87.78,111.98,0.08,1004,2020
2020,1,1,5,25,0,0,0,0.4,3.5,87.78,111.06,0.08,1004,2020
2020,1,1,5,30,0,0,0,0.4,3.5,87.78,110.13,0.08,1004,2020
2020,1,1,5,35,0,0,0,0.4,3.5,86.11,109.22,0.08,1004,2020
2020,1,1,5,40,0,0,0,0.4,3.5,86.11,108.3,0.08,1004,2020
2020,1,1,5,45,0,0,0,0.4,3.5,86.11,107.39,0.08,1004,2020
2020,1,1,5,50,0,0,0,0.4,3.5,86.11,106.48,0.08,1004,2020
2020,1,1,5,55,0,0,0,0.4,3.5,86.11,105.57,0.08,1004,2020
2020,1,1,6,0,0,0,0,0.4,3.5,86.11,104.67,0.08,1004,2020
2020,1,1,6,5,0,0,0,0.4,3.5,86.11,103.77,0.08,1004,2020
2020,1,1,6,10,0,0,0,0.4,3.5,86.11,102.87,0.08,1004,2020
2020,1,1,6,15,0,0,0,0.4,3.5,86.11,101.98,0.08,1004,2020
2020,1,1,6,20,0,0,0,0.4,3.5,86.11,101.09,0.08,1004,2020
2020,1,1,6,25,0,0,0,0.4,3.6,86.11,100.21,0.08,1004,2020
2020,1,1,6,30,0,0,0,0.4,3.6,86.19,99.33,0.08,1005,2020
2020,1,1,6,35,0,0,0,0.4,3.6,84.66,98.46,0.08,1005,2020
2020,1,1,6,40,0,0,0,0.30000000000000004,3.6,85.28,97.59,0.08,1005,2020
2020,1,1,6,45,0,0,0,0.30000000000000004,3.6,85.28,96.73,0.08,1005,2020
2020,1,1,6,50,0,0,0,0.30000000000000004,3.6,85.28,95.87,0.08,1005,2020
2020,1,1,6,55,0,0,0,0.30000000000000004,3.6,85.28,95.02,0.08,1005,2020
2020,1,1,7,0,0,0,0,0.30000000000000004,3.6,85.28,94.17,0.08,1005,2020
2020,1,1,7,5,0,0,0,0.4,3.6,84.66,93.33,0.08,1005,2020
2020,1,1,7,10,0,0,0,0.5,3.6,84.05,92.5,0.08,1005,2020
2020,1,1,7,15,0,0,0,0.5,3.7,84.05,91.67,0.08,1005,2020
2020,1,1,7,20,0,0,0,0.6000000000000001,3.7,83.45,90.85,0.08,1005,2020
2020,1,1,7,25,0,0,0,0.7000000000000001,3.7,82.85000000000002,89.53,0.08,1005,2020
2020,1,1,7,30,4,4,0,0.8,3.7,82.26,88.83,0.08,1005,2020
2020,1,1,7,35,4,4,0,0.8,3.8,83.88,88.10000000000002,0.08,1005,2020
2020,1,1,7,40,6,6,0,0.9,3.8,83.28,87.36,0.08,1005,2020
2020,1,1,7,45,12,12,0,1.0,3.8,82.68,86.61,0.08,1005,2020
2020,1,1,7,50,16,16,0,1.0,3.8,82.68,85.87,0.08,1005,2020
2020,1,1,7,55,29,28,0,1.1,3.9,82.09,85.12,0.08,1005,2020
2020,1,1,8,0,37,37,0,1.2000000000000002,3.9,81.59,84.38,0.08,1006,2020
2020,1,1,8,5,47,47,1,1.3,3.9,81.0,83.64,0.08,1006,2020
2020,1,1,8,10,49,49,1,1.4,4.0,80.43,82.91,0.08,1006,2020
2020,1,1,8,15,44,44,0,1.5,4.0,79.85000000000002,82.18,0.08,1006,2020
2020,1,1,8,20,41,40,0,1.6,4.0,79.28,81.47,0.08,1006,2020
2020,1,1,8,25,45,45,0,1.7000000000000002,4.0,78.72,80.76,0.08,1006,2020
2020,1,1,8,30,63,63,1,1.7000000000000002,4.1000000000000005,78.72,80.06,0.08,1006,2020
2020,1,1,8,35,52,52,0,1.8,4.1000000000000005,77.48,79.37,0.08,1006,2020
2020,1,1,8,40,42,42,0,1.9,4.1000000000000005,76.93,78.69,0.08,1006,2020
2020,1,1,8,45,46,46,0,2.0,4.2,76.38,78.02,0.08,1006,2020
2020,1,1,8,50,49,49,0,2.1,4.2,75.84,77.36,0.08,1006,2020
2020,1,1,8,55,45,45,0,2.2,4.2,75.3,76.71000000000002,0.08,1006,2020
2020,1,1,9,0,44,44,0,2.3000000000000003,4.3,74.77,76.08,0.08,1006,2020
2020,1,1,9,5,61,61,0,2.4000000000000004,4.3,74.24,75.45,0.08,1006,2020
2020,1,1,9,10,70,70,0,2.4000000000000004,4.3,74.24,74.84,0.08,1006,2020
2020,1,1,9,15,71,71,0,2.5,4.3,73.71000000000002,74.24,0.08,1006,2020
2020,1,1,9,20,74,74,0,2.5,4.3,73.71000000000002,73.65,0.08,1006,2020
2020,1,1,9,25,82,82,0,2.6,4.3,73.19,73.08,0.08,1006,2020
2020,1,1,9,30,77,77,0,2.6,4.4,73.19,72.52,0.08,1006,2020
2020,1,1,9,35,96,96,1,2.7,4.4,70.24,71.97,0.08,1006,2020
2020,1,1,9,40,102,102,1,2.8000000000000003,4.4,69.75,71.44,0.08,1006,2020
2020,1,1,9,45,123,122,2,2.8000000000000003,4.4,69.75,70.93,0.08,1006,2020
2020,1,1,9,50,146,143,7,2.9000000000000004,4.4,69.25,70.42,0.08,1006,2020
2020,1,1,9,55,154,151,8,2.9000000000000004,4.5,69.25,69.94,0.08,1006,2020
2020,1,1,10,0,184,178,17,3.0,4.5,68.77,69.47,0.08,1006,2020
2020,1,1,10,5,183,178,15,3.0,4.5,68.77,69.01,0.08,1006,2020
2020,1,1,10,10,204,195,25,3.1,4.5,68.28,68.58,0.08,1006,2020
2020,1,1,10,15,245,218,73,3.1,4.5,68.28,68.15,0.08,1006,2020
2020,1,1,10,20,217,206,30,3.1,4.5,68.28,67.75,0.08,1006,2020
2020,1,1,10,25,243,222,55,3.2,4.5,67.8,67.36,0.08,1006,2020
2020,1,1,10,30,213,204,24,3.2,4.5,67.8,67.0,0.08,1006,2020
2020,1,1,10,35,231,217,34,3.2,4.5,66.25,66.64,0.08,1006,2020
2020,1,1,10,40,198,191,16,3.2,4.5,66.25,66.31,0.08,1006,2020
2020,1,1,10,45,204,197,17,3.3000000000000003,4.5,65.79,66.0,0.08,1006,2020
2020,1,1,10,50,205,198,17,3.3000000000000003,4.5,65.79,65.7,0.08,1006,2020
2020,1,1,10,55,192,187,14,3.3000000000000003,4.5,65.79,65.43,0.08,1006,2020
2020,1,1,11,0,182,179,7,3.4000000000000004,4.5,65.33,65.17,0.08,1006,2020
2020,1,1,11,5,199,193,15,3.4000000000000004,4.5,65.33,64.94,0.08,1006,2020
2020,1,1,11,10,229,218,25,3.4000000000000004,4.5,65.33,64.72,0.08,1006,2020
2020,1,1,11,15,261,242,46,3.4000000000000004,4.5,65.33,64.52,0.08,1006,2020
2020,1,1,11,20,276,250,61,3.4000000000000004,4.5,65.33,64.35,0.08,1006,2020
2020,1,1,11,25,222,213,21,3.4000000000000004,4.5,65.33,64.19,0.08,1006,2020
2020,1,1,11,30,225,215,22,3.5,4.5,64.87,64.06,0.08,1006,2020
2020,1,1,11,35,138,137,1,3.5,4.5,63.98,63.94000000000001,0.08,1006,2020
2020,1,1,11,40,60,60,0,3.5,4.5,63.98,63.85,0.08,1006,2020
2020,1,1,11,45,135,134,0,3.5,4.5,63.98,63.78,0.08,1006,2020
2020,1,1,11,50,86,86,0,3.5,4.5,63.98,63.73,0.08,1006,2020
2020,1,1,11,55,54,54,0,3.5,4.5,63.98,63.7,0.08,1006,2020
2020,1,1,12,0,78,78,0,3.6,4.5,63.53,63.69000000000001,0.08,1006,2020
2020,1,1,12,5,93,93,0,3.6,4.5,63.53,63.7,0.08,1006,2020
2020,1,1,12,10,60,60,0,3.6,4.5,63.53,63.74,0.08,1006,2020
2020,1,1,12,15,86,86,0,3.6,4.5,63.53,63.79,0.08,1006,2020
2020,1,1,12,20,96,96,0,3.6,4.4,63.53,63.87000000000001,0.08,1006,2020
2020,1,1,12,25,107,107,0,3.6,4.4,63.53,63.96,0.08,1006,2020
2020,1,1,12,30,98,98,0,3.6,4.4,63.53,64.08,0.08,1006,2020
2020,1,1,12,35,88,88,0,3.6,4.4,63.62000000000001,64.22,0.08,1006,2020
2020,1,1,12,40,57,57,0,3.6,4.4,63.62000000000001,64.38,0.08,1006,2020
2020,1,1,12,45,48,48,0,3.6,4.4,63.62000000000001,64.56,0.08,1006,2020
2020,1,1,12,50,38,38,0,3.6,4.4,63.62000000000001,64.76,0.08,1006,2020
2020,1,1,12,55,47,47,0,3.6,4.4,63.62000000000001,64.98,0.08,1006,2020
2020,1,1,13,0,57,57,0,3.6,4.4,63.62000000000001,65.22,0.08,1006,2020
2020,1,1,13,5,65,65,0,3.6,4.4,63.62000000000001,65.48,0.08,1006,2020
2020,1,1,13,10,57,57,0,3.6,4.4,63.62000000000001,65.76,0.08,1006,2020
2020,1,1,13,15,87,87,0,3.6,4.3,63.62000000000001,66.06,0.08,1006,2020
2020,1,1,13,20,112,112,0,3.5,4.3,64.07000000000001,66.37,0.08,1006,2020
2020,1,1,13,25,69,69,0,3.5,4.3,64.07000000000001,66.71000000000001,0.08,1006,2020
2020,1,1,13,30,54,54,0,3.5,4.3,64.07000000000001,67.06,0.08,1006,2020
2020,1,1,13,35,70,70,0,3.5,4.3,64.84,67.44,0.08,1006,2020
2020,1,1,13,40,56,56,0,3.5,4.3,64.84,67.83,0.08,1006,2020
2020,1,1,13,45,64,64,0,3.5,4.3,64.84,68.23,0.08,1006,2020
2020,1,1,13,50,53,53,0,3.5,4.2,64.84,68.66,0.08,1006,2020
2020,1,1,13,55,63,63,0,3.5,4.2,64.84,69.10000000000001,0.08,1006,2020
2020,1,1,14,0,59,59,0,3.5,4.2,64.84,69.56,0.08,1006,2020
2020,1,1,14,5,55,55,0,3.4000000000000004,4.2,65.3,70.03,0.08,1006,2020
2020,1,1,14,10,50,50,0,3.4000000000000004,4.2,65.3,70.52,0.08,1006,2020
2020,1,1,14,15,36,36,0,3.3000000000000003,4.1000000000000005,65.76,71.02,0.08,1006,2020
2020,1,1,14,20,42,42,0,3.3000000000000003,4.1000000000000005,65.82000000000001,71.54,0.08,1007,2020
2020,1,1,14,25,61,61,0,3.3000000000000003,4.1000000000000005,65.82000000000001,72.08,0.08,1007,2020
2020,1,1,14,30,50,50,0,3.2,4.0,66.29,72.62,0.08,1007,2020
2020,1,1,14,35,43,43,0,3.2,4.0,67.82000000000001,73.19,0.08,1007,2020
2020,1,1,14,40,57,57,0,3.1,4.0,68.3,73.76,0.08,1007,2020
2020,1,1,14,45,45,45,0,3.1,3.9,68.3,74.35000000000002,0.08,1007,2020
2020,1,1,14,50,35,35,0,3.1,3.9,68.3,74.95,0.08,1007,2020
2020,1,1,14,55,35,35,0,3.0,3.9,68.78,75.57000000000002,0.08,1007,2020
2020,1,1,15,0,45,45,0,3.0,3.9,68.78,76.2,0.08,1007,2020
2020,1,1,15,5,54,54,0,2.9000000000000004,3.8,69.27,76.83,0.08,1007,2020
2020,1,1,15,10,62,62,0,2.8000000000000003,3.8,69.76,77.48,0.08,1007,2020
2020,1,1,15,15,58,58,0,2.6,3.7,70.76,78.14,0.08,1007,2020
2020,1,1,15,20,51,51,0,2.5,3.7,71.26,78.82000000000002,0.08,1007,2020
2020,1,1,15,25,46,46,0,2.4000000000000004,3.7,71.77,79.5,0.08,1007,2020
2020,1,1,15,30,42,42,0,2.3000000000000003,3.6,72.35000000000002,80.19,0.08,1008,2020
